            Time          sigma1          sigma3               u         sigma1'         sigma3'               p               q            eps1
             [s]           [kPa]           [kPa]           [kPa]           [kPa]           [kPa]           [kPa]           [kPa]             [%]

    0.00000e+000    7.00961e+002    6.99947e+002    5.00871e+002    2.00090e+002    1.99076e+002    1.99414e+002    1.01387e+000    0.00000e+000
    2.07800e+000    7.01004e+002    6.99919e+002    5.00844e+002    2.00161e+002    1.99076e+002    1.99437e+002    1.08474e+000    0.00000e+000
    4.09400e+000    7.01027e+002    6.99901e+002    5.00807e+002    2.00220e+002    1.99094e+002    1.99470e+002    1.12593e+000    0.00000e+000
    6.15600e+000    7.00982e+002    6.99919e+002    5.00853e+002    2.00129e+002    1.99067e+002    1.99421e+002    1.06269e+000    0.00000e+000
    8.18700e+000    7.00987e+002    6.99882e+002    5.00890e+002    2.00097e+002    1.98993e+002    1.99361e+002    1.10466e+000    0.00000e+000
    1.02660e+001    7.00957e+002    6.99966e+002    5.00908e+002    2.00048e+002    1.99057e+002    1.99388e+002    9.91046e-001    0.00000e+000
    1.22970e+001    7.00964e+002    6.99855e+002    5.00853e+002    2.00111e+002    1.99002e+002    1.99372e+002    1.10940e+000    0.00000e+000
    1.43590e+001    7.00961e+002    6.99882e+002    5.00908e+002    2.00053e+002    1.98974e+002    1.99334e+002    1.07894e+000    0.00000e+000
    1.63750e+001    7.00966e+002    6.99910e+002    5.00834e+002    2.00132e+002    1.99076e+002    1.99428e+002    1.05573e+000    0.00000e+000
    1.83910e+001    7.00940e+002    6.99929e+002    5.00881e+002    2.00059e+002    1.99048e+002    1.99385e+002    1.01097e+000    0.00000e+000
    2.04530e+001    7.00937e+002    6.99910e+002    5.00908e+002    2.00028e+002    1.99002e+002    1.99344e+002    1.02634e+000    0.00000e+000
    2.24690e+001    7.00920e+002    6.99966e+002    5.00964e+002    1.99956e+002    1.99002e+002    1.99320e+002    9.54306e-001    0.00000e+000
    2.44840e+001    7.00980e+002    6.99882e+002    5.00899e+002    2.00081e+002    1.98983e+002    1.99349e+002    1.09732e+000    0.00000e+000
    2.65940e+001    7.00956e+002    6.99938e+002    5.00844e+002    2.00112e+002    1.99094e+002    1.99434e+002    1.01793e+000    0.00000e+000
    2.86720e+001    7.00964e+002    6.99966e+002    5.00871e+002    2.00093e+002    1.99094e+002    1.99427e+002    9.98395e-001    0.00000e+000
    3.06870e+001    7.00845e+002    6.99892e+002    5.00890e+002    1.99955e+002    1.99002e+002    1.99320e+002    9.53303e-001    0.00000e+000
    3.27660e+001    7.01529e+002    6.99892e+002    5.01139e+002    2.00390e+002    1.98753e+002    1.99298e+002    1.63768e+000    0.00000e+000
    3.47970e+001    7.03571e+002    6.99910e+002    5.01887e+002    2.01683e+002    1.98023e+002    1.99243e+002    3.66032e+000    0.00000e+000
    3.68910e+001    7.06551e+002    6.99938e+002    5.03061e+002    2.03490e+002    1.96877e+002    1.99082e+002    6.61284e+000    1.00330e-003
    3.89690e+001    7.09536e+002    6.99882e+002    5.04298e+002    2.05237e+002    1.95584e+002    1.98802e+002    9.65337e+000    3.00990e-003
    4.09530e+001    7.12107e+002    6.99929e+002    5.05351e+002    2.06756e+002    1.94577e+002    1.98637e+002    1.21788e+001    4.01320e-003
    4.29840e+001    7.14536e+002    7.00002e+002    5.06469e+002    2.08067e+002    1.93533e+002    1.98378e+002    1.45337e+001    5.01650e-003
    4.50780e+001    7.16904e+002    6.99864e+002    5.07596e+002    2.09308e+002    1.92268e+002    1.97948e+002    1.70398e+001    7.02311e-003
    4.71720e+001    7.19250e+002    6.99882e+002    5.08686e+002    2.10564e+002    1.91196e+002    1.97652e+002    1.93673e+001    9.02971e-003
    4.91870e+001    7.21409e+002    6.99882e+002    5.09767e+002    2.11642e+002    1.90116e+002    1.97291e+002    2.15263e+001    1.00330e-002
    5.12810e+001    7.23508e+002    6.99901e+002    5.10875e+002    2.12633e+002    1.89026e+002    1.96895e+002    2.36071e+001    1.20396e-002
    5.32970e+001    7.25409e+002    6.99947e+002    5.11928e+002    2.13481e+002    1.88019e+002    1.96506e+002    2.54623e+001    1.40462e-002
    5.53750e+001    7.27356e+002    6.99956e+002    5.12972e+002    2.14384e+002    1.86984e+002    1.96117e+002    2.74000e+001    1.50495e-002
