eps1	q	p	epsv
0.0	0.0	100	0.0
0.030759475	13.35648226	106.6782411	0.025303161
0.070098033	26.20027583	113.1001379	0.049686206
0.116929649	44.06183881	122.0309194	0.078209769
0.159127401	60.8651064	130.4325532	0.104893102
0.203297009	77.74440013	138.8722001	0.132956607
0.248156769	94.2150747	147.1075374	0.157799711
0.294002456	110.4324488	155.2162244	0.182182756
0.337284729	126.4151229	163.2075615	0.2033454
0.380074038	141.4361638	170.7180819	0.222667813
0.424440833	156.2354016	178.1177008	0.239689939
0.467131548	169.8837186	184.9418593	0.254871836
0.520174516	183.2192996	191.6096498	0.267293387
0.565921611	195.5472002	197.7736001	0.276954594
0.621922365	207.2640974	203.6320487	0.286155743
0.669838504	218.1648972	209.0824486	0.291676433
0.71459967	228.5818984	214.2909492	0.296277008
0.761036915	238.4370724	219.2185362	0.298117237
0.803530445	247.5291761	223.7645881	0.298117237
0.851840955	256.2604647	228.1302324	0.296737065
0.900545836	264.361592	232.180796	0.293056605
0.944814038	272.2548433	236.1274217	0.287995973
0.99558937	279.4966382	239.7483191	0.282015226
1.045674551	286.3403067	243.1701534	0.274654307
1.093393504	293.2121702	246.6060851	0.2649931
1.142591349	299.3932305	249.6966153	0.254411778
1.191887788	305.527528	252.763764	0.242910342
1.242170155	311.3048981	255.6524491	0.230028733
1.295903273	316.9348518	258.4674259	0.216227009
1.348354684	322.1014999	261.05075	0.201965227
1.39962298	327.3755334	263.6877667	0.185863216
1.450398311	332.2819548	266.1409774	0.16884109
1.501469422	336.9726857	268.4863429	0.151358906
1.556385654	341.5385058	270.7692529	0.132036493
1.601442599	345.9633872	272.9816936	0.113174136
1.655077124	350.2233365	275.1116683	0.093391665
1.710683507	354.053537	277.0267685	0.072229022
1.762148989	358.1409805	279.0704903	0.050606321
1.819135672	361.8431116	280.9215558	0.028523563
1.869911003	365.4177599	282.70888	0.005980747
1.91605247	369.2503646	284.6251823	-0.017482184
1.968996845	372.57781	286.288905	-0.041405172
2.020166548	375.9760182	287.9880091	-0.065788218
2.064138971	379.1636973	289.5818487	-0.090631321
2.118660832	382.5151892	291.2575946	-0.116394539
2.180872938	385.5145814	292.7572907	-0.143537929
2.226028475	388.2246791	294.1123396	-0.169761205
2.287550431	391.0299046	295.5149523	-0.196904595
