eps1	q	p	u
0	0	100	0
0.099174639	26.6833461	126.6833461	6.894884
0.198349278	39.65905098	139.659051	13.227386
0.297523916	53.32664429	153.3266443	17.252554
0.396698555	66.24473901	166.244739	20.554762
0.495873194	76.76822182	176.7682218	23.00626
0.595047833	86.22946643	186.2294664	24.119604
0.694222472	95.60068707	195.6006871	24.467167
0.79339711	103.7566901	203.7566901	24.293029
0.892571749	112.1730625	212.1730625	23.577919
0.991746388	120.2494451	220.2494451	22.614448
1.487619582	157.8977717	257.8977717	13.308746
1.983492776	184.554796	284.554796	3.862805
2.47936597	214.7821758	314.7821758	-8.719056
2.975239164	239.6138178	339.6138178	-21.390483
3.471112358	263.926667	363.926667	-33.766447
3.966985552	281.4065657	381.4065657	-45.962919
4.462858746	294.6654923	394.6654923	-55.296455
4.95873194	310.756158	406.3275355	-65.275873
5.950478328	323.6598716	419.5581751	-82.181221
6.942224716	333.9956316	433.9956316	-97.228854
7.933971104	335.853894	433.2087044	-107.898403
8.925717493	338.6680038	438.6680038	-115.104095
9.917463881	336.6415776	436.6415776	-121.265671
10.90921027	327.342325	427.342325	-124.06723
11.90095666	317.8474137	417.8474137	-125.662667
12.89270304	310.2689	406.390515	-125.359709
13.88444943	308.7183022	408.7183022	-125.406098
14.87619582	307.1592232	407.1592232	-125.186641
15.86794221	304.9011034	404.9011034	-125.927086
16.8596886	304.7337621	404.7337621	-127.633857
17.85143499	303.4065493	403.4065493	-128.018532
18.84318137	299.2141791	399.2141791	-128.393929
19.83492776	297.6566076	397.6566076	-127.124288
